samsung|SAMSUNG-SM-G928A|zenlteatt|5.1.1
samsung|SM-G360F|coreprimelte|5.0.2
HTC|HTC Desire 626|htc_a32ul_emea|5.1
Sony|D5322|D5322|5.1.1
samsung|SM-T715Y|gts28lte|5.0.2
LGE|LG-H961N|pplus|5.1.1
Sony|C6502|C6502|5.1.1
samsung|SM-G530P|gprimeltespr|5.1.1
Sony|E5823|E5823|5.1.1
samsung|SAMSUNG-SM-G900A|klteatt|5.1.1
motorola|Moto G 2014 LTE|thea|6.0
samsung|SM-T807V|chagallltevzw|5.0.2
Sony|E6653|E6653|5.1.1
Sony|E2363|E2363|5.0
Sony|D2306|D2306|5.1.1
motorola|XT1025|condor_udstv|5.1
asus|ASUS_Z00UD|ASUS_Z00U_2|5.0.2
LGE|LG-K330|m1|5.1.1
samsung|SM-G900W8|kltecan|5.1.1
samsung|SAMSUNG-SM-G750A|mega2lteatt|5.1.1
samsung|SCH-R970|jflteusc|5.0.1
samsung|SM-G920W8|zerofltebmc|5.1.1
HTC|HTC6535LVW|htc_himawl|5.1
Sony|D6643|D6643|5.1.1
motorola|XT1052|ghost|5.1
samsung|SM-T535|matisselte|5.0.2
Sony|D5803|aries|6.0.1
samsung|SGH-T999|d2tmo|5.1.1
LGE|LGMS330|m1|5.1.1
samsung|GT-I9301I|s3ve3g|5.1.1
samsung|SM-G928C|zenlte|5.1.1
samsung|SM-J700M|j7elte|5.1.1
samsung|SM-G928T|zenltetmo|5.1.1
samsung|SM-T531|matisse3g|5.0.2
samsung|SM-A500F|a5lte|5.0.2
HTC|HTC_D820ys|htc_a50ml|5.0.2
samsung|SM-G530T|gprimeltetmo|5.1.1
samsung|SM-G360T|cprimeltetmo|5.1.1
HTC|HTC Desire 816|htc_a5ul|5.0.2
samsung|SM-G925K|zerolte|5.1.1
samsung|SM-A300M|a3lte|5.0.2
Sony|C6833|C6833|5.1.1
samsung|SM-T810|gts210wifi|5.1.1
motorola|XT1562|lux|5.1.1
asus|ASUS_Z008|Z008|5.1.1
LGE|Kingzone K1 Turbo|Kingzone|5.1.1
samsung|GT-I9190|serrano3g|6.0
motorola|Moto E|condor_umtsds|5.1.1
motorola|XT1585|kinzie|5.1.1
samsung|SM-J200H|j23g|5.1.1
motorola|Moto E|condor_umtsds|6.0
motorola|Moto G 2014|titan_umts|6.0.1
LGE|LG-Leon h345|h345|5.1.1
Sony|C6902|C6902|5.1.1
samsung|SM-A500M|a5lte|5.0.2
asus|P01Z|P01Z|5.0.2
LGE|LGMS345|ms345|5.1.1
samsung|SM-A500H|a53g|5.0.2
samsung|SM-G361F|coreprimevelte|5.1.1
